,ticker,name
379,VONG,VANGUARD SCOTTSDALE FDS
380,VONE,VANGUARD SCOTTSDALE FDS
381,VTWO,VANGUARD SCOTTSDALE FDS
382,VXUS,VANGUARD STAR FDS
383,VWOB,VANGUARD WHITEHALL FDS
384,VYM,VANGUARD WHITEHALL FDS
385,VIGI,VANGUARD WHITEHALL FDS
386,MGK,VANGUARD WORLD FD
387,VOX,VANGUARD WORLD FDS
388,VCR,VANGUARD WORLD FDS
389,VDE,VANGUARD WORLD FDS
390,VGT,VANGUARD WORLD FDS
391,VAW,VANGUARD WORLD FDS
394,WSO/B,WATSCO INC
398,JW/A,WILEY JOHN & SONS INC
400,DEM,WISDOMTREE TR
401,DGS,WISDOMTREE TR
402,DLS,WISDOMTREE TR
403,DES,WISDOMTREE TR
410,QFIN,360   DIGITECH      INC
412,ACAMW,ACAMAR   PARTNERS   ACQSITION           CO
418,AMLP,ALPS    ETF   TR
419,ALTG/WS,ALTA   EQUIPMENT       GROUP    INC
420,ALUS/WS,ALUSSA    ENERGY      ACQUISITION      CO
421,APXTW,APEX   TECHNOLOGY  ACQUISITION
422,ARKF,ARK   ETF   TR
423,AACQW,ARTIUS   ACQUISITION         INC
424,AACQU,ARTIUS   ACQUISITION         INC
425,ACND/WS,ASCENDANT       DIGITAL     ACQUISITIO
426,ACND/U,ASCENDANT       DIGITAL     ACQUISITIO
428,ASPL/U,ASPIRATIONAL      CONSUMER      LIFEST
429,VXX,BARCLAYS    BANK    PLC
431,BRK/B,BERKSHIRE      HATHAWAY    INC     DEL
432,BH/A,BIGLARI       HLDGS   INC
437,BSN/U,BROADSTONE   ACQUISITION         CORP
442,CPSR/U,CAPSTAR   SPL   PURP   ACQUISITION
443,CPSR/WS,CAPSTAR   SPL   PURP   ACQUISITION
444,PRPB/U,CC   NEUBERGER       PRIN  HLDGS      II
445,PRPB/WS,CC   NEUBERGER     PRIN  HLDGS     II
446,PCPL/U,CC   NEUBERGER    PRINCIPAL      HLDNG
447,PCPL/WS,CC   NEUBERGER    PRINCIPAL      HLDNG
453,CHPMW,CHP   MERGER     CORP
455,CCX/WS,CHURCHILL   CAP    CORP    II
456,CCIV/WS,CHURCHILL   CAPITAL      CORP    IV
457,CCIV/U,CHURCHILL   CAPITAL      CORP    IV
458,CIICW,CIIG   MERGER     CORP
461,CCAC/U,CITIC  CAPITAL    ACQUISITION          CO
462,CCAC/WS,CITIC  CAPITAL    ACQUISITION          CO
464,CLII/U,CLIMATE   CHANGE     CRISIS    REAL      I
465,RQI,COHEN   &   STEERS    QUALITY       INCOM
466,CRHC/U,COHN   ROBBINS     HOLDINGS    CORP
467,CLA/U,COLONNADE     ACQUISITION      CORP
471,CRSAW,CRESCENT     ACQUISITION           CORP
473,DEH/WS,D8   HOLDINGS     CORP
474,DEH/U,D8   HOLDINGS     CORP
475,DFHTW,DEERFIELD       HEALTHCARE       TECH     AC
478,DFPHW,DFP   HEALTHCARE    ACQUISITNS   CO
479,LABU,DIREXION     SHS  ETF   TR
480,BRZU,DIREXION  SHS  ETF  TR
481,GUSH,DIREXION  SHS  ETF  TR
482,NUGT,DIREXION  SHS  ETF  TR
484,DMYD/U,DMY     TECHNOLOGY     GROUP       INC  II
485,DGNR/U,DRAGONEER     GROWTH     OPPORTUN      CO
490,EQD/U,EQUITY   DISTR     ACQUISITION  COR
492,ENPC/U,EXECUTIVE    NETWORK    PARTNERING
493,EXPCW,EXPERIENCE       INVT  CORP
496,FST/U,FAST  ACQUISITION      CORP
497,FGNA/U,FG      NEW   AMER    ACQUISITION   CORP
499,FSRVW,FINSERV   ACQUISITION        CORP
501,FTXO,FIRST    TR  EXCHANGE-TRADED          FD
502,FBZ,FIRST  TR  EXCH  TRD   ALPHDX     FD
503,SKYY,FIRST  TR  EXCHANGE      TRADED  FD
504,FXD,FIRST  TR  EXCHANGE    TRADED  FD
505,FXN,FIRST  TR  EXCHANGE    TRADED  FD
506,QTEC,FIRST  TR  NASDAQ    100   TECH  IND
508,BFT/U,FOLEY   TRASIMENE    ACQUISITION
509,WPF/WS,FOLEY   TRASIMENE    ACQUISTN    COR
510,WPF/U,FOLEY   TRASIMENE    ACQUISTN    COR
511,FAII/U,FORTRESS  VALUE   ACQUISITION       I
512,FIIIW,FORUM   MERGER       III   CORP
517,FUSE/U,FUSION    ACQUISITION        CORP
518,FUSE/WS,FUSION    ACQUISITION        CORP
520,GD,GENERAL   DYNAMICS        CORP
522,GIK/WS,GIGCAPITAL3       INC
523,GB/WS,GLOBAL  BLUE     GROUP     HOLDING    AG
525,GOAC/WS,GO   ACQUISITION       CORP
526,GOAC/U,GO   ACQUISITION       CORP
527,GSLC,GOLDMAN   SACHS    ETF   TR
529,GHIVW,GORES   HLDGS      IV  INC
530,GDYNW,GRID   DYNAMICS   HLDGS    INC
531,GSAH/WS,GS   ACQUISITION         HLDGS     CORP     II
